case_index,scenario,sentiment,urgency,a_emp_token_len,a_emp_sent_len,a_emp_ttr,a_emp_flesch_ease,a_emp_flesch_grade,a_emp_fog,a_emp_empathy_score,a_emp_formality_score,a_emp_fp_singular,a_emp_passive,a_emp_placeholder,a_emp_entity_cov,a_emp_cov_product,a_emp_cov_order_id,a_emp_cov_issue,a_emp_cov_urgency,a_emp_cov_sentiment,a_emp_cov_customer_name,a_frm_token_len,a_frm_sent_len,a_frm_ttr,a_frm_flesch_ease,a_frm_flesch_grade,a_frm_fog,a_frm_empathy_score,a_frm_formality_score,a_frm_fp_singular,a_frm_passive,a_frm_placeholder,a_frm_entity_cov,a_frm_cov_product,a_frm_cov_order_id,a_frm_cov_issue,a_frm_cov_urgency,a_frm_cov_sentiment,a_frm_cov_customer_name,b_emp_token_len,b_emp_sent_len,b_emp_ttr,b_emp_flesch_ease,b_emp_flesch_grade,b_emp_fog,b_emp_empathy_score,b_emp_formality_score,b_emp_fp_singular,b_emp_passive,b_emp_placeholder,b_emp_entity_cov,b_frm_token_len,b_frm_sent_len,b_frm_ttr,b_frm_flesch_ease,b_frm_flesch_grade,b_frm_fog,b_frm_empathy_score,b_frm_formality_score,b_frm_fp_singular,b_frm_passive,b_frm_placeholder,b_frm_entity_cov,a_rouge1_ef,a_rouge2_ef,a_rougeL_ef,a_rouge1_ec,b_rouge1_ef,b_rouge2_ef,b_rougeL_ef,b_rouge1_ec,a_style_disc_score,b_style_disc_score,delta_emp_empathy_score,delta_frm_formality_score,delta_style_disc_score,delta_emp_token_len,delta_emp_ttr,delta_emp_flesch_ease,delta_emp_fog,delta_emp_placeholder,delta_emp_entity_cov,delta_rouge1_ef,delta_rouge2_ef,kg_nodes,kg_edges,kg_density,kg_salience
0,battery_issue,frustrated,high,58,3,0.896551724137931,61.665000000000006,9.130000000000003,9.422222222222222,0.0,0.034482758620689655,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,2,0.9111111111111111,25.64970930232562,15.022906976744185,17.90232558139535,0.0,0.06896551724137931,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,3,0.88,59.53333333333336,8.847659574468086,10.521985815602838,0.03225806451612903,0.06896551724137931,0.0,0.0,0,0.0,75,3,0.88,35.16965174129356,13.90208955223881,15.500497512437812,0.0,0.0,0.0,0.0,0,0.0,0.24489795918367344,0.041666666666666664,0.1020408163265306,0.24691358024691357,0.3157894736842105,0.03571428571428572,0.14035087719298248,0.16883116883116883,0.034482758620689655,-0.03670745272525028,-0.03225806451612903,0.06896551724137931,0.07119021134593993,8,0.016551724137931045,2.1316666666666464,-1.0997635933806151,0,0.0,-0.07089151450053707,0.005952380952380945,8,9,0.16071428571428573,0.84375
1,battery_issue,angry,high,37,2,0.918918918918919,53.712500000000034,10.115000000000002,12.714285714285715,0.0,0.034482758620689655,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,71,3,0.8873239436619719,26.84136363636364,14.98090909090909,17.89090909090909,0.0,0.10344827586206896,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,53,3,0.8490566037735849,57.94233333333335,9.318000000000001,11.466666666666669,0.0,0.034482758620689655,0.0,0.0,0,0.0,41,2,0.9512195121951219,35.19634615384618,13.194487179487183,12.928205128205128,0.0,0.034482758620689655,0.0,0.0,0,0.0,0.23300970873786409,0.019801980198019802,0.11650485436893204,0.18840579710144928,0.26966292134831465,0.06896551724137932,0.15730337078651685,0.3006535947712418,0.06896551724137931,0.0,0.0,0.06896551724137931,0.06896551724137931,-16,0.06986231514533403,-4.229833333333318,1.2476190476190467,0,0.0,-0.03665321261045057,-0.04916353704335952,9,8,0.1111111111111111,0.8814444444444445
2,battery_issue,neutral,medium,75,3,0.8666666666666667,52.05000000000001,11.96166666666667,13.488888888888889,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57,2,0.9298245614035088,22.81142857142862,17.03357142857143,19.771428571428572,0.03225806451612903,0.034482758620689655,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,3,0.8545454545454545,57.460897435897465,9.55076923076923,10.77948717948718,0.0,0.0,0.0,0.0,0,0.0,81,4,0.7901234567901234,33.93421052631581,13.246315789473687,16.02105263157895,0.0,0.0,0.0,0.0,0,0.0,0.390625,0.12698412698412698,0.14062500000000003,0.19318181818181818,0.29687499999999994,0.11111111111111112,0.18749999999999997,0.1923076923076923,0.0022246941045606233,0.0,0.0,0.034482758620689655,0.0022246941045606233,20,0.0121212121212122,-5.4108974358974535,2.7094017094017087,0,0.0,0.09375000000000006,0.015873015873015858,7,6,0.14285714285714285,0.8357142857142857
3,battery_issue,polite,low,48,2,0.8958333333333334,56.59000000000002,11.080000000000002,13.547826086956523,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,2,0.8518518518518519,48.66423076923081,12.930769230769233,15.784615384615385,0.0,0.06896551724137931,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,3,0.9433962264150944,46.09833333333336,10.970000000000002,13.866666666666669,0.0,0.034482758620689655,0.0,0.0,0,0.0,73,4,0.8767123287671232,36.26931818181819,12.299545454545456,16.903030303030302,0.0,0.034482758620689655,0.0,0.0,0,0.0,0.28571428571428575,0.020833333333333332,0.12244897959183673,0.3129251700680272,0.2564102564102564,0.034782608695652174,0.11965811965811966,0.17218543046357615,0.06896551724137931,0.0,0.0,0.034482758620689655,0.06896551724137931,-5,-0.04756289308176098,10.49166666666666,-0.31884057971014634,0,0.0,0.029304029304029366,-0.013949275362318842,7,6,0.14285714285714285,0.85
4,battery_issue,frustrated,high,42,2,1.0,51.17500000000004,11.090000000000003,12.0,0.0,0.034482758620689655,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,3,0.86,48.73333333333335,10.35404255319149,13.075177304964539,0.0,0.06896551724137931,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,2,0.9285714285714286,65.98000000000003,9.025000000000002,11.0,0.0,0.0,0.0,0.0,0,0.0,64,3,0.875,37.747909604519776,12.880000000000003,13.968361581920906,0.0,0.034482758620689655,0.0,0.3333333333333333,0,0.0,0.2298850574712644,0.047058823529411764,0.16091954022988506,0.09655172413793103,0.15841584158415845,0.0202020202020202,0.07920792079207922,0.15172413793103448,0.034482758620689655,0.034482758620689655,0.0,0.034482758620689655,0.0,0,0.0714285714285714,-14.804999999999993,1.0,0,0.0,0.07146921588710595,0.026856803327391564,6,4,0.13333333333333333,0.8416666666666667
5,battery_issue,angry,high,52,3,0.8846153846153846,43.50156462585039,11.249387755102042,13.063945578231293,0.0,0.06896551724137931,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,59,3,0.847457627118644,31.33212121212125,13.443636363636362,11.696969696969697,0.0,0.06896551724137931,0.0,0.3333333333333333,0,0.14285714285714285,0.3333333333333333,,0.0,0.0,0.0,0.0,51,3,0.803921568627451,60.16999999999999,8.841666666666672,10.566666666666666,0.0,0.034482758620689655,0.0,0.0,0,0.0,68,3,0.8529411764705882,28.40571428571431,14.514285714285716,16.653968253968255,0.0,0.034482758620689655,0.0,0.0,0,0.0,0.26923076923076916,0.019607843137254905,0.09615384615384616,0.2191780821917808,0.17857142857142858,0.018181818181818177,0.08928571428571429,0.13793103448275862,0.0,0.0,0.0,0.034482758620689655,0.0,1,0.08069381598793357,-16.668435374149595,2.497278911564626,0,0.0,0.09065934065934059,0.0014260249554367277,7,4,0.09523809523809523,0.8642857142857142
6,battery_issue,polite,medium,42,2,0.9523809523809523,47.29210526315791,11.383157894736843,9.705263157894738,0.03225806451612903,0.0,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,74,3,0.8378378378378378,33.90739130434784,14.243768115942029,16.73623188405797,0.0,0.06896551724137931,0.0,0.3333333333333333,0,0.0,0.0,,0.0,0.0,0.0,0.0,67,4,0.8656716417910447,65.8071525423729,7.0120000000000005,6.753898305084746,0.0,0.0,0.0,0.0,0,0.0,46,2,0.9347826086956522,43.35668604651164,12.553139534883723,13.251162790697675,0.03225806451612903,0.034482758620689655,0.0,0.0,0,0.0,0.2037037037037037,0.018867924528301886,0.09259259259259259,0.17687074829931973,0.30476190476190484,0.03883495145631068,0.15238095238095242,0.1893491124260355,0.10122358175750834,0.0022246941045606233,0.03225806451612903,0.034482758620689655,0.09899888765294772,-25,0.0867093105899076,-18.515047279214997,2.9513648528099914,0,0.0,-0.10105820105820115,-0.019967026928008797,7,6,0.14285714285714285,0.8357142857142857
7,battery_issue,neutral,low,95,3,0.8315789473684211,37.94131086142326,15.337303370786518,17.70936329588015,0.0,0.06896551724137931,0.6666666666666666,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,3,0.8703703703703703,39.33033333333336,11.914000000000001,13.866666666666669,0.03225806451612903,0.034482758620689655,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,3,0.8867924528301887,61.326333333333366,8.846,11.466666666666669,0.03225806451612903,0.06896551724137931,0.0,0.0,0,0.0,41,2,0.9024390243902439,23.43047297297298,14.587162162162166,17.12972972972973,0.0,0.034482758620689655,0.0,0.0,0,0.0,0.35714285714285715,0.04347826086956521,0.12857142857142856,0.26,0.18390804597701146,0.0,0.11494252873563218,0.1375,-0.06674082313681869,-0.0022246941045606233,-0.03225806451612903,0.0,-0.06451612903225806,42,-0.05521350546176762,-23.385022471910105,6.24269662921348,0,0.0,0.1732348111658457,0.04347826086956521,7,6,0.14285714285714285,0.8357142857142857
8,battery_issue,frustrated,high,52,3,0.8653846153846154,53.120000000000005,9.825,11.4,0.03225806451612903,0.06896551724137931,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,50,3,0.92,31.26731884057972,12.707391304347826,11.35072463768116,0.03225806451612903,0.06896551724137931,0.0,0.3333333333333333,0,0.0,0.0,,0.0,0.0,0.0,0.0,61,3,0.8360655737704918,52.48684210526318,10.65859649122807,11.108771929824563,0.0,0.0,1.0,0.0,0,0.0,66,3,0.8636363636363636,40.57371584699456,12.651475409836067,14.690710382513661,0.06451612903225806,0.06896551724137931,0.0,0.0,0,0.0,0.3368421052631579,0.043010752688172046,0.12631578947368421,0.0857142857142857,0.3220338983050847,0.08620689655172413,0.18644067796610167,0.12162162162162161,0.0,0.004449388209121247,0.03225806451612903,0.0,-0.004449388209121247,-9,0.029319041614123575,0.6331578947368257,0.2912280701754373,0,0.0,0.014808206958073167,-0.04319614386355208,6,3,0.1,0.8250000000000001
9,battery_issue,angry,high,37,2,0.918918918918919,48.87821428571431,10.789285714285715,12.714285714285715,0.0,0.06896551724137931,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,3,0.85,27.752619047619078,14.025714285714287,14.609523809523811,0.03225806451612903,0.06896551724137931,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,3,0.8837209302325582,53.7116666666667,9.079999999999998,11.333333333333336,0.0,0.034482758620689655,0.0,0.0,0,0.0,69,3,0.855072463768116,39.77541666666667,13.01125,15.408333333333331,0.0,0.06896551724137931,0.0,0.0,0,0.0,0.2637362637362637,0.022471910112359553,0.0879120879120879,0.13740458015267176,0.19230769230769232,0.0,0.11538461538461538,0.11764705882352941,-0.03225806451612903,0.034482758620689655,0.0,0.0,-0.06674082313681869,-6,0.035197988686360815,-4.833452380952394,1.3809523809523796,0,0.0,0.07142857142857137,0.022471910112359553,8,7,0.125,0.825
10,battery_issue,neutral,medium,50,2,0.92,57.33750000000002,11.224166666666669,12.100000000000001,0.0,0.0,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,61,3,0.8360655737704918,38.327619047619066,12.550714285714289,14.609523809523811,0.0,0.034482758620689655,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,91,4,0.7692307692307693,67.82154411764708,9.078676470588238,10.382352941176471,0.03225806451612903,0.0,0.0,0.0,0,0.0,49,2,0.9183673469387755,10.611739130434785,17.493043478260876,19.63478260869565,0.0,0.06896551724137931,0.0,0.0,0,0.0,0.36190476190476184,0.019417475728155338,0.17142857142857143,0.16296296296296295,0.16541353383458648,0.0,0.09022556390977443,0.3218390804597701,0.034482758620689655,0.10122358175750834,-0.03225806451612903,-0.034482758620689655,-0.06674082313681869,-41,0.15076923076923077,-10.48404411764706,1.7176470588235304,0,0.0,0.19649122807017536,0.019417475728155338,6,3,0.1,0.8083333333333335
11,battery_issue,polite,low,53,3,0.8301886792452831,55.58727891156465,9.563673469387759,10.614965986394559,0.0,0.0,0.0,0.0,0,0.14285714285714285,0.0,0.0,0.5,0.0,0.0,0.0,43,2,0.8837209302325582,27.144573170731718,14.565975609756098,16.98048780487805,0.0,0.034482758620689655,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,3,0.9423076923076923,45.22809523809528,11.008571428571429,13.880272108843537,0.0,0.034482758620689655,0.0,0.0,0,0.0,85,4,0.8470588235294118,37.27368421052634,12.780526315789476,16.02105263157895,0.03225806451612903,0.034482758620689655,0.0,0.0,0,0.0,0.3076923076923077,0.04494382022471909,0.1978021978021978,0.2818791946308725,0.20634920634920634,0.03225806451612904,0.14285714285714285,0.17567567567567569,0.034482758620689655,-0.03225806451612903,0.0,0.0,0.06674082313681869,1,-0.11211901306240923,10.359183673469374,-3.265306122448978,0,0.14285714285714285,0.10134310134310137,0.012685755708590055,7,6,0.14285714285714285,0.85
12,battery_issue,frustrated,high,37,2,0.9459459459459459,36.79250000000002,12.475000000000001,13.857142857142856,0.03225806451612903,0.034482758620689655,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,2,0.8461538461538461,45.57158163265308,12.98948979591837,13.06530612244898,0.03225806451612903,0.0,0.0,0.0,0,0.2857142857142857,0.0,0.0,0.5,1.0,0.0,0.0,45,2,0.9333333333333333,47.2915697674419,12.004302325581396,13.251162790697675,0.0,0.0,0.0,0.0,0,0.0,55,3,0.8545454545454545,38.32197278911568,11.97183673469388,13.880272108843537,0.03225806451612903,0.034482758620689655,0.0,0.0,0,0.0,0.14285714285714288,0.0,0.09523809523809522,0.14285714285714285,0.19354838709677422,0.0,0.08602150537634408,0.13432835820895522,-0.034482758620689655,0.0022246941045606233,0.03225806451612903,-0.034482758620689655,-0.03670745272525028,-8,0.012612612612612595,-10.499069767441881,0.6059800664451807,0,0.0,-0.05069124423963134,0.0,7,6,0.14285714285714285,0.85
13,battery_issue,angry,high,50,3,0.86,61.33333333333334,8.596595744680851,8.819858156028369,0.0,0.034482758620689655,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,3,0.873015873015873,28.222011494252882,14.125862068965517,16.00919540229885,0.0,0.06896551724137931,0.0,0.3333333333333333,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92,4,0.8152173913043478,53.19389534883723,11.181046511627908,12.786046511627909,0.0,0.0,0.0,0.25,0,0.0,73,3,0.8493150684931506,33.90739130434784,14.243768115942029,14.997101449275362,0.0,0.034482758620689655,0.0,0.3333333333333333,0,0.0,0.2641509433962264,0.05769230769230769,0.1320754716981132,0.1699346405228758,0.3354838709677419,0.06535947712418301,0.18064516129032257,0.21875,0.034482758620689655,0.034482758620689655,0.0,0.034482758620689655,0.0,-42,0.044782608695652204,8.139437984496112,-3.96618835559954,0,0.0,-0.07133292757151549,-0.007667169431875322,9,12,0.16666666666666666,0.838888888888889
14,battery_issue,neutral,medium,70,3,0.8142857142857143,52.08641025641026,11.376923076923081,12.974358974358976,0.03225806451612903,0.0,0.3333333333333333,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,2,0.9032258064516129,34.45517241379312,15.657931034482761,16.427586206896553,0.0,0.06896551724137931,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,3,0.8428571428571429,72.9868181818182,8.544545454545453,10.012121212121214,0.03225806451612903,0.0,0.0,0.0,0,0.0,64,2,0.90625,26.333177966101715,16.915000000000003,19.25762711864407,0.03225806451612903,0.0,0.0,0.0,0,0.0,0.25806451612903225,0.0,0.11290322580645162,0.26993865030674846,0.1904761904761905,0.0,0.09523809523809525,0.2804878048780488,0.10122358175750834,0.0,0.0,0.06896551724137931,0.10122358175750834,0,-0.02857142857142858,-20.900407925407933,2.9622377622377627,0,0.0,0.06758832565284176,0.0,7,6,0.14285714285714285,0.8357142857142857
15,battery_issue,polite,low,46,3,0.8913043478260869,61.696428571428584,8.131904761904764,7.504761904761906,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,3,0.8793103448275862,38.85805031446543,12.228301886792455,14.613836477987423,0.06451612903225806,0.034482758620689655,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,3,0.8928571428571429,59.608993710691834,9.333962264150948,11.59496855345912,0.0,0.034482758620689655,0.0,0.0,0,0.0,77,3,0.8181818181818182,53.49831050228312,11.842465753424658,11.925114155251142,0.0,0.034482758620689655,0.0,0.0,0,0.0,0.16494845360824742,0.0,0.12371134020618559,0.27972027972027974,0.380952380952381,0.01612903225806452,0.14285714285714285,0.2483660130718954,-0.030033370411568408,0.0,0.0,0.0,-0.030033370411568408,-10,-0.0015527950310559868,2.0874348607367494,-4.090206648697214,0,0.0,-0.21600392734413357,-0.01612903225806452,7,6,0.14285714285714285,0.85
16,battery_issue,frustrated,high,59,3,0.9152542372881356,60.55757575757579,9.367272727272727,9.515151515151514,0.0,0.034482758620689655,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,2,0.9384615384615385,23.90870967741938,17.625806451612906,20.78709677419355,0.0,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,3,0.9,61.392105263157916,9.416491228070175,10.40701754385965,0.03225806451612903,0.034482758620689655,0.0,0.0,0,0.0,69,3,0.8840579710144928,39.186830601092936,12.844918032786886,14.690710382513661,0.0,0.0,0.0,0.0,0,0.0,0.23728813559322032,0.03448275862068966,0.0847457627118644,0.22695035460992907,0.1694915254237288,0.0,0.06779661016949151,0.1408450704225352,-0.034482758620689655,-0.0022246941045606233,-0.03225806451612903,0.0,-0.03225806451612903,-1,0.015254237288135575,-0.8345295055821254,-0.8918660287081366,0,0.0,0.06779661016949151,0.03448275862068966,6,4,0.13333333333333333,0.8416666666666667
17,battery_issue,angry,high,55,3,0.8181818181818182,62.34166666666668,8.870000000000001,10.77948717948718,0.0,0.034482758620689655,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72,3,0.8194444444444444,39.51068627450982,13.379411764705882,14.94901960784314,0.0,0.06896551724137931,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,3,0.8035714285714286,62.80144654088052,8.888679245283019,10.840251572327047,0.0,0.034482758620689655,0.0,0.0,0,0.0,68,3,0.8088235294117647,43.48350282485876,12.080000000000002,13.968361581920906,0.0,0.034482758620689655,0.0,0.0,0,0.0,0.3166666666666667,0.06779661016949153,0.13333333333333333,0.11688311688311688,0.2831858407079646,0.0900900900900901,0.10619469026548672,0.1032258064516129,0.034482758620689655,0.0,0.0,0.034482758620689655,0.034482758620689655,-1,0.01461038961038963,-0.4597798742138366,-0.06076439283986623,0,0.0,0.03348082595870211,-0.022293479920598575,8,8,0.14285714285714285,0.8875
18,battery_issue,neutral,medium,70,3,0.8571428571428571,46.88025641025641,12.103076923076923,13.589743589743591,0.03225806451612903,0.034482758620689655,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,3,0.8571428571428571,33.77714285714288,13.76507936507937,15.384126984126983,0.0,0.034482758620689655,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,3,0.8888888888888888,60.19176470588238,9.08705882352941,10.721568627450981,0.03225806451612903,0.06896551724137931,0.0,0.0,0,0.0,77,3,0.922077922077922,34.95584474885848,14.428767123287674,15.760730593607306,0.0,0.06896551724137931,0.0,0.3333333333333333,0,0.0,0.26153846153846155,0.0,0.12307692307692308,0.16774193548387098,0.27419354838709675,0.0,0.11290322580645161,0.17142857142857143,0.03225806451612903,0.03225806451612903,0.0,-0.034482758620689655,0.0,16,-0.031746031746031744,-13.31150829562597,2.86817496229261,0,0.0,-0.0126550868486352,0.0,7,6,0.14285714285714285,0.8357142857142857
19,battery_issue,polite,low,46,2,0.9130434782608695,65.29590909090909,9.61727272727273,12.436363636363637,0.0,0.034482758620689655,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,2,0.9148936170212766,22.362857142857166,15.357142857142858,16.97142857142857,0.0,0.034482758620689655,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,2,0.8837209302325582,66.34945121951222,9.097682926829268,9.175609756097561,0.0,0.0,0.0,0.0,0,0.0,73,3,0.863013698630137,35.133478260869595,14.072753623188408,15.576811594202901,0.0,0.034482758620689655,0.0,0.3333333333333333,0,0.0,0.25287356321839083,0.0,0.16091954022988506,0.19718309859154928,0.32727272727272727,0.03703703703703704,0.12727272727272726,0.12949640287769784,0.0,0.034482758620689655,0.0,0.0,-0.034482758620689655,3,0.029322548028311357,-1.0535421286031266,3.2607538802660763,0,0.0,-0.07439916405433644,-0.03703703703703704,6,4,0.13333333333333333,0.8416666666666667
20,battery_issue,frustrated,high,90,4,0.8333333333333334,56.6057142857143,10.580952380952379,11.733333333333334,0.0,0.06896551724137931,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,3,0.9076923076923077,35.66500000000002,13.253333333333337,16.0,0.0,0.10344827586206896,0.0,0.3333333333333333,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,2,0.8723404255319149,40.300454545454556,13.103636363636365,13.345454545454544,0.0,0.034482758620689655,0.0,0.0,0,0.0,64,3,0.875,43.48350282485876,12.080000000000002,13.290395480225989,0.03225806451612903,0.06896551724137931,0.0,0.0,0,0.0,0.4000000000000001,0.09790209790209789,0.15172413793103448,0.1513513513513514,0.3269230769230769,0.058823529411764705,0.1346153846153846,0.13793103448275865,0.034482758620689655,0.0022246941045606233,0.0,0.034482758620689655,0.03225806451612903,43,-0.03900709219858156,16.305259740259743,-1.6121212121212096,0,0.0,0.07307692307692315,0.039078568490333185,6,4,0.13333333333333333,0.8000000000000002
21,battery_issue,angry,high,45,2,0.8222222222222222,66.96598837209305,9.260116279069766,11.390697674418604,0.0,0.034482758620689655,0.3333333333333333,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,56,3,0.8035714285714286,50.03163522012579,10.669811320754718,12.349685534591195,0.03225806451612903,0.0,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,70,2,0.9142857142857143,43.693653846153865,15.238846153846158,15.461538461538462,0.03225806451612903,0.0,0.3333333333333333,0.5,0,0.0,61,3,0.819672131147541,30.22368421052633,13.763859649122807,16.72280701754386,0.03225806451612903,0.034482758620689655,0.0,0.6666666666666666,0,0.0,0.3333333333333333,0.0851063829787234,0.18749999999999997,0.17218543046357618,0.3252032520325204,0.06611570247933884,0.2113821138211382,0.19540229885057472,-0.06674082313681869,0.034482758620689655,-0.03225806451612903,-0.034482758620689655,-0.10122358175750834,-25,-0.09206349206349207,23.272334525939186,-4.070840787119858,0,0.0,0.008130081300812941,0.018990680499384557,9,6,0.08333333333333333,0.8388888888888889
22,battery_issue,neutral,medium,48,2,0.8333333333333334,67.43750000000001,9.442777777777781,10.777777777777779,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,2,0.8666666666666667,22.362857142857166,15.357142857142858,17.923809523809524,0.0,0.06896551724137931,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,3,0.9333333333333333,46.55000000000001,11.486666666666668,13.2140350877193,0.0,0.06896551724137931,0.0,0.0,0,0.0,63,2,0.8888888888888888,16.295889830508486,18.315,21.96949152542373,0.03225806451612903,0.0,0.0,0.0,0,0.0,0.22727272727272724,0.046511627906976744,0.11363636363636362,0.2709677419354839,0.2905982905982906,0.03478260869565217,0.13675213675213677,0.20481927710843376,0.06896551724137931,-0.10122358175750834,0.0,0.06896551724137931,0.17018909899888765,-12,-0.09999999999999998,20.887500000000003,-2.436257309941521,0,0.0,-0.06332556332556338,0.011729019211324576,7,6,0.14285714285714285,0.8357142857142857
